CB Link ID,Borough,Community Board,Council District,Latitude,Longitude,Project Status,Smallest PPT,Street Address,Postcode,Link Site ID,Link Smoke Tested and Activated (A),Link Installation (A),Neighborhood Tabulation Area (NTA),Building Identification Number (BIN),Borough-Block-Lot (BBL),Census Tract (CT),Cross Street 1,Cross Street 2,IxN Corner,GF Permit Application ID,Location,X Coordinate,Y Coordinate
LINK-013880,Manhattan,104,3,40.737886,-73.996604,Live,122426,545 6 AVENUE,10011,mn-04-122426,01/17/2019,05/12/2018,Hudson Yards-Chelsea-Flatiron-Union Square,1014529,1007900039,1008100,WEST 15 STREET,WEST 14 STREET,SW,,"(40.73788645, -73.9966041)",985191.0828518054,208108.55217904598
LINK-000928,Manhattan,107,6,40.774894,-73.982571,Live,133488,121 WEST 67 STREET,10023,mn-07-133488,07/19/2016,04/16/2016,Lincoln Square,1028850,1011390014,1015300,BROADWAY,AMSTERDAM AVENUE,NW,,"(40.774894, -73.982571)",989077.2984406784,221592.06950265914
LINK-011423,Brooklyn,307,38,40.655746,-74.006549,Live,125836,948 3 AVENUE,11232,bk-07-125836,05/02/2018,02/26/2018,Sunset Park West,3010251,3006910046,3001800,EAST 36 STREET,EAST 35 STREET,NW,,"(40.65574578, -74.00654892)",982432.9046528543,178182.32260529697
LINK-012640,Manhattan,105,2,40.743395,-73.983878,Live,134631,407 PARK AVENUE SOUTH,10016,mn-05-134631,06/19/2018,02/24/2018,Murray Hill-Kips Bay,1018204,1008840001,1007200,EAST 28 STREET,EAST 29 STREET,NE,,"(40.74339468, -73.9838785)",988717.2731464921,210115.76798545197
LINK-012923,Manhattan,108,5,40.767770,-73.955691,Live,120843,399 EAST 72 STREET,10021,mn-08-120843,01/03/2018,09/28/2017,Lenox Hill-Roosevelt Island,1045843,1014670001,1012400,1 AVENUE,YORK AVENUE,NE,,"(40.76777013, -73.95569057)",996523.6655340419,218999.2300090529
LINK-011158,Manhattan,106,2,40.731602,-73.982548,Live,134843,241 1 AVENUE,10003,mn-06-134843,01/03/2018,10/07/2017,Gramercy,1082156,1009210027,1004800,EAST 14 STREET,EAST 15 STREET,NW,,"(40.73160198, -73.98254791)",989086.8360713657,205819.38581865653
LINK-012503,Manhattan,108,4,40.761049,-73.964181,Live,121764,1131 2 AVENUE,10022,mn-08-121764,02/22/2018,10/28/2017,Lenox Hill-Roosevelt Island,1043348,1014147503,1011000,EAST 60 STREET,EAST 59 STREET,MIDBLOCK,,"(40.76104904, -73.96418067)",994172.9182074645,216549.4398480095
LINK-014393,Bronx,201,17,40.816188,-73.909917,Live,142736,613 WESTCHESTER AVENUE,10455,bx-01-142736,06/26/2018,05/17/2018,Melrose South-Mott Haven North,2115751,2026240086,2007500,CAULDWELL AVENUE,EAGLE AVENUE,NW,,"(40.81618821, -73.90991661)",1009184.8599656612,236649.32489715517
LINK-003316,Manhattan,105,4,40.761640,-73.982996,Live,122651,780 7 AVENUE,10019,mn-05-122651,11/11/2016,10/16/2016,Midtown-Midtown South,1024811,1010220035,1013100,WEST 51 STREET,WEST 50 STREET,SW,,"(40.76164, -73.982996)",988960.5238372196,216763.1743743457
LINK-001140,Queens,404,25,40.734545,-73.874705,Live,124921,89-02 QUEENS BOULEVARD,11373,qu-04-124921,12/29/2016,11/05/2016,Elmhurst,4064743,4028550012,4047500,56 AVENUE,HOFFMAN DRIVE,SE,,"(40.73454516, -73.87470458)",1018974.0036600783,206916.0306111388
LINK-011501,Bronx,205,14,40.851878,-73.908976,Live,119597,1966 JEROME AVENUE,10453,bx-05-119597,08/01/2017,04/22/2017,Mount Hope,2008258,2028540001,2024100,EAST TREMONT AVENUE,EAST 179 STREET,NE,,"(40.85187831, -73.90897566)",1009431.8005562426,249652.81124250963
LINK-003475,Manhattan,107,6,40.793524,-73.970887,Live,107263,720 AMSTERDAM AVENUE,10025,mn-07-107263,10/10/2016,07/28/2016,Upper West Side,1033697,1012430029,1018300,WEST 95 STREET,WEST 96 STREET,NW,,"(40.7935244, -73.97088677)",992311.2157810632,228380.61829501018
LINK-021241,Brooklyn,301,34,40.707581,-73.955316,Live,146092,361 BROADWAY,11211,bk-01-146092,01/22/2019,06/05/2018,North Side-South Side,3331238,3024630040,3052700,KEAP STREET,HOOPER STREET,NE,82213,"(40.707581, -73.95531649)",996638.4712139436,197070.48373642564
LINK-000888,Manhattan,108,5,40.782159,-73.951699,Live,119833,1622 3 AVENUE,10128,mn-08-119833,03/23/2016,02/15/2016,Upper East Side-Carnegie Hill,1078518,1015200034,1015801,EAST 91 STREET,EAST 92 STREET,NW,,"(40.782159, -73.951699)",997626.435496985,224242.16184148937
LINK-007632,Manhattan,106,4,40.752343,-73.970524,Live,121413,857 2 AVENUE,10017,mn-06-121413,05/17/2018,03/18/2018,Turtle Bay-East Midtown,1037591,1013190029,1009000,EAST 46 STREET,EAST 45 STREET,SW,,"(40.75234297, -73.97052358)",992416.8288852669,213376.88029205427
LINK-012631,Manhattan,105,2,40.744407,-73.983132,Live,135635,439 PARK AVENUE SOUTH,10016,mn-05-135635,04/24/2018,02/17/2018,Murray Hill-Kips Bay,1082103,1008850088,1007200,EAST 30 STREET,EAST 29 STREET,SE,,"(40.74440678, -73.98313231)",988923.9716429067,210484.54722716287
LINK-000472,Manhattan,105,3,40.763424,-73.985061,Live,139276,260 WEST 52 STREET,10019,mn-05-139276,04/07/2016,03/18/2016,Midtown-Midtown South,1076198,1010230061,1013100,8 AVENUE,BROADWAY,SE,,"(40.763424, -73.985061)",988388.3574959324,217413.03991774842
LINK-012532,Manhattan,110,9,40.825967,-73.939767,Live,119900,2817 FREDERICK DOUGLASS BOULEVARD,10039,mn-10-119900,05/24/2017,04/22/2017,Central Harlem North-Polo Grounds,1060846,1020450096,1025900,WEST 150 STREET,WEST 149 STREET,SW,,"(40.82596687, -73.93976734)",1000919.8034594572,240204.954701446
LINK-000784,Queens,412,24,40.704020,-73.798690,Live,141545,160-15 JAMAICA AVENUE,11432,qu-12-141545,10/20/2016,08/18/2016,Jamaica,4208855,4097570047,4044601,161 STREET,160 STREET,NW,,"(40.70402028, -73.79869023)",1040065.9244644692,195834.1830207333
LINK-000958,Manhattan,107,6,40.781705,-73.980809,Live,121223,215 WEST 76 STREET,10023,mn-07-121223,05/26/2016,05/05/2016,Upper West Side,1030860,1011680021,1016300,BROADWAY,AMSTERDAM AVENUE,NE,,"(40.78170535, -73.98080903)",989564.766407687,224073.7760593593
LINK-000731,Manhattan,105,4,40.753003,-73.979246,Live,121662,330 MADISON AVENUE,10017,mn-05-121662,05/26/2017,04/02/2017,Midtown-Midtown South,1035348,1012770014,1009400,EAST 43 STREET,EAST 42 STREET,NW,,"(40.75300305, -73.97924601)",990000.1082943107,213616.67589874938
LINK-010191,Manhattan,111,9,40.800446,-73.946484,Live,100223,1413 5 AVENUE,10029,mn-11-100223,01/25/2017,10/15/2016,East Harlem North,1051661,1016210070,1018400,EAST 116 STREET,EAST 115 STREET,SE,,"(40.800446, -73.94648352)",999066.7352403014,230905.58446747065
LINK-019377,Staten Island,502,50,40.564789,-74.115318,Live,145738,2754 HYLAN BOULEVARD,10306,si-02-145738,02/28/2017,02/19/2017,Oakwood-Oakwood Beach,5107591,5039830130,5012806,RENO AVENUE,CANNON BOULEVARD,NE,81713,"(40.564789, -74.115318)",952209.6887418742,145065.42211561278
LINK-001049,Brooklyn,307,38,40.653711,-74.005258,Live,125846,968 4 AVENUE,11232,bk-07-125846,06/09/2017,04/28/2017,Sunset Park West,3010388,3007000032,3008400,37 STREET,38 STREET,SW,,"(40.65371111, -74.00525819)",982790.9924087018,177441.01175476983
LINK-011231,Manhattan,104,3,40.766437,-73.990262,Live,139118,498 WEST 53 STREET,10019,mn-04-139118,11/08/2017,09/23/2017,Clinton,1026740,1010620003,1013300,10 AVENUE,9 AVENUE,SE,,"(40.7664369, -73.99026177)",986947.5335830667,218510.53589729592
LINK-000839,Manhattan,108,4,40.768939,-73.960967,Live,120995,200 EAST 71 STREET,10021,mn-08-120995,03/29/2016,03/05/2016,Lenox Hill-Roosevelt Island,1043920,1014250001,1012600,3 AVENUE,2 AVENUE,SE,,"(40.76893883, -73.96096732)",995061.8217023466,219424.33084264398
LINK-002214,Brooklyn,302,35,40.682932,-73.963959,Live,132668,979 FULTON STREET,11238,bk-02-132668,01/25/2017,12/01/2016,Clinton Hill,3056672,3019790052,3020100,ST JAMES PLACE,WASHINGTON AVENUE,NW,,"(40.682932, -73.963959)",994246.0365224234,188089.02205320075
LINK-001702,Manhattan,109,7,40.826090,-73.950482,Live,111651,3536 BROADWAY,10031,mn-09-111651,07/14/2016,06/24/2016,Hamilton Heights,1061922,1020760061,1022900,WEST 145 STREET,WEST 144 STREET,SE,,"(40.82609, -73.950482)",997954.4225063962,240247.95779985562
LINK-007635,Manhattan,106,4,40.754138,-73.968836,Live,121792,300 EAST 49 STREET,10017,mn-06-121792,02/16/2018,11/04/2017,Turtle Bay-East Midtown,1076278,1013410049,1009000,2 AVENUE,1 AVENUE,SE,,"(40.754138, -73.968836)",992884.1623800981,214031.02965058386
LINK-014642,Manhattan,110,9,40.804047,-73.952140,Live,119959,1940 ADAM CLAYTON POWELL JR. BOULEVARD,10026,mn-10-119959,01/09/2017,10/29/2016,Central Harlem South,1084042,1019230029,1021800,WEST 117 STREET,WEST 118 STREET,NW,,"(40.80404696, -73.95213993)",997499.9677410903,232216.63418472558
LINK-000226,Manhattan,106,2,40.733919,-73.986881,Live,135857,140 3 AVENUE,10003,mn-06-135857,05/31/2017,04/29/2017,Gramercy,1084936,1008700024,1005000,EAST 15 STREET,EAST 14 STREET,SW,,"(40.73391885, -73.98688143)",987885.6772500728,206663.2845625393
