CB Link ID,Borough,Community Board,Council District,Latitude,Longitude,Project Status,Smallest PPT,Street Address,Postcode,Link Site ID,Link Smoke Tested and Activated (A),Link Installation (A),Neighborhood Tabulation Area (NTA),Building Identification Number (BIN),Borough-Block-Lot (BBL),Census Tract (CT),Cross Street 1,Cross Street 2,IxN Corner,GF Permit Application ID,Location,X Coordinate,Y Coordinate
LINK-010697,Manhattan,108,4,40.779561,-73.959954,Installed,121048,26 EAST 84 STREET,10028,mn-08-121048,,04/10/2018,Upper East Side-Carnegie Hill,1046790,1014950057,1014200,MADISON AVENUE,5 AVENUE,SW,,"(40.77956091, -73.9599541)",995340.7084378877,223294.43686605617
LINK-013965,Manhattan,105,2,40.735187,-73.989871,Live,123158,18 UNION SQUARE EAST,10003,mn-05-123158,11/21/2016,10/08/2016,Gramercy,1083247,1008707501,1005000,EAST 15 STREET,EAST 14 STREET,NE,,"(40.735187, -73.989871)",987057.0951379428,207125.20150782168
LINK-014096,Manhattan,106,5,40.756944,-73.964070,Live,136356,1001 1 AVENUE,10022,mn-06-136356,03/08/2018,10/20/2017,Turtle Bay-East Midtown,1039951,1013470030,1010800,EAST 55 STREET,EAST 54 STREET,NW,,"(40.75694399, -73.96407038)",994204.0849528682,215053.8485798426
LINK-000473,Manhattan,104,3,40.745443,-73.998619,Live,123646,301 WEST 23 STREET,10011,mn-04-123646,06/24/2016,05/25/2016,Hudson Yards-Chelsea-Flatiron-Union Square,1078540,1007470001,1009300,8 AVENUE,9 AVENUE,NW,,"(40.74544348, -73.99861909)",984632.6388667905,210861.80316737294
LINK-001712,Staten Island,502,50,40.565852,-74.114224,Live,145544,2710 HYLAN BOULEVARD,10306,si-02-145544,02/22/2017,01/31/2017,Oakwood-Oakwood Beach,5107584,5039830013,5012806,ALLISON AVENUE,PRINCETON AVENUE,MIDBLOCK,,"(40.56585176, -74.11422426)",952514.0815709163,145452.21307730302
LINK-001195,Queens,402,26,40.744278,-73.930399,Live,102099,34-02 QUEENS BOULEVARD,11101,qu-02-102099,02/02/2017,11/05/2016,Hunters Point-Sunnyside-West Maspeth,4003435,4002460001,4017900,34 STREET,35 STREET,MIDBLOCK,,"(40.744278, -73.930399)",1003536.2032038019,210444.84054841846
LINK-000074,Bronx,205,14,40.861655,-73.898581,Live,119587,150 EAST 188 STREET,10468,bx-05-119587,05/25/2016,05/12/2016,Fordham South,2013796,2031650030,2023703,CRESTON AVENUE,GRAND CONCOURSE,SE,,"(40.86165512, -73.89858091)",1012303.3733133515,253218.0352666527
LINK-008694,Manhattan,105,3,40.744668,-73.991375,Live,123642,766 6 AVENUE,10010,mn-05-123642,11/02/2017,08/19/2017,Hudson Yards-Chelsea-Flatiron-Union Square,1087526,1008270001,1005800,WEST 26 STREET,WEST 25 STREET,SE,,"(40.744668, -73.991375)",986639.9447726294,210579.38566436246
LINK-013956,Manhattan,102,2,40.732391,-73.991387,Live,123086,799 BROADWAY,10003,mn-02-123086,11/10/2016,10/15/2016,West Village,1009108,1005620024,1006100,EAST 11 STREET,EAST 10 STREET,SW,,"(40.73239147, -73.99138693)",986637.0788134247,206106.6572616361
LINK-008693,Manhattan,105,3,40.745578,-73.991002,Live,107739,795 6 AVENUE,10001,mn-05-107739,11/02/2017,09/10/2017,Midtown-Midtown South,1015075,1008030035,1009500,WEST 27 STREET,WEST 28 STREET,NW,,"(40.74557814, -73.99100163)",986743.3696869478,210910.98916083574
LINK-020548,Bronx,201,8,40.807108,-73.918343,Live,146060,530 EAST 138 STREET,10454,bx-01-146060,07/11/2018,02/12/2018,Mott Haven-Port Morris,2000040,2022650035,2002500,BROOK AVENUE,ST ANNS AVENUE,MIDBLOCK,82101,"(40.80710778, -73.91834301)",1006855.5379342906,233338.71556386724
LINK-012620,Manhattan,105,3,40.743971,-73.991883,Live,134490,750 6 AVENUE,10010,mn-05-134490,04/05/2018,10/28/2017,Hudson Yards-Chelsea-Flatiron-Union Square,1085951,1008260001,1005800,WEST 24 STREET,WEST 25 STREET,SE,,"(40.7439707, -73.99188287)",986499.240053206,210325.3235696219
LINK-000518,Manhattan,104,3,40.754666,-73.991816,Live,122565,557 8 AVENUE,10018,mn-04-122565,05/12/2016,04/30/2016,Hudson Yards-Chelsea-Flatiron-Union Square,1013624,1007610039,1011100,WEST 38 STREET,WEST 37 STREET,SW,,"(40.75466587, -73.99181602)",986517.4000022294,214221.91987236217
LINK-021234,Brooklyn,301,33,40.718513,-73.957231,Live,146073,153 NORTH 8 STREET,11249,bk-01-146073,08/02/2018,02/26/2018,North Side-South Side,3061793,3023110030,3051700,BEDFORD AVENUE,BERRY STREET,NE,81967,"(40.71851349, -73.95723131)",996105.6440921936,201053.25626653433
LINK-011127,Manhattan,106,4,40.751834,-73.970593,Live,137822,850 2 AVENUE,10017,mn-06-137822,05/17/2018,02/17/2018,Turtle Bay-East Midtown,1038781,1013387501,1009000,EAST 45 STREET,EAST 46 STREET,NE,,"(40.75183416, -73.97059306)",992397.6407722923,213191.49790262803
LINK-000312,Manhattan,106,4,40.749658,-73.975104,Live,135586,633 3 AVENUE,10017,mn-06-135586,01/05/2018,07/29/2017,Turtle Bay-East Midtown,1037174,1013147502,1008800,EAST 40 STREET,EAST 41 STREET,NE,,"(40.74965755, -73.97510442)",991147.9251630082,212398.10128176585
LINK-000453,Manhattan,104,3,40.742297,-74.000940,Live,108537,159 8 AVENUE,10011,mn-04-108537,04/07/2016,03/18/2016,Hudson Yards-Chelsea-Flatiron-Union Square,1087673,1007417501,1008300,WEST 18 STREET,WEST 19 STREET,SW,,"(40.742297, -74.00094)",983989.5213865364,209715.43852396682
LINK-000243,Manhattan,106,2,40.735626,-73.985322,Live,123634,203 3 AVENUE,10003,mn-06-123634,01/19/2016,01/08/2016,Gramercy,1019551,1008980001,1004800,EAST 17 STREET,EAST 18 STREET,SE,,"(40.735626, -73.985322)",988317.7530728295,207285.3215271607
LINK-018102,Brooklyn,303,36,40.680951,-73.955704,Live,145796,540 FRANKLIN AVENUE,11238,bk-03-145796,03/24/2017,03/11/2017,Clinton Hill,3339279,3020160042,3022700,FULTON STREET,LEFFERTS PLACE,NW,81512,"(40.68095126, -73.95570356)",996536.0624792099,187368.43124445528
LINK-014189,Manhattan,107,6,40.776573,-73.979051,Live,107864,70 WEST 71 STREET,10023,mn-07-107864,01/23/2019,02/21/2018,Lincoln Square,1028585,1011230061,1015700,COLUMBUS AVENUE,CENTRAL PARK WEST,SE,,"(40.77657343, -73.97905068)",990052.1727605711,222204.15584636852
LINK-014206,Manhattan,104,3,40.748842,-74.006704,Live,107976,184 11 AVENUE,10011,mn-04-107976,05/07/2018,09/24/2017,Hudson Yards-Chelsea-Flatiron-Union Square,1012341,1006950001,1009900,WEST 24 STREET,WEST 23 STREET,NE,,"(40.748842, -74.0067043)",982392.3880704861,212100.06105000153
LINK-011635,Brooklyn,309,35,40.666203,-73.950913,Live,127020,926 NOSTRAND AVENUE,11225,bk-09-127020,03/01/2017,02/03/2017,Crown Heights South,3034163,3012960039,3032100,CROWN STREET,MONTGOMERY STREET,SW,,"(40.66620283, -73.95091335)",997867.686204456,181995.86624702066
LINK-001131,Queens,406,29,40.726241,-73.852519,Live,124204,101-10 QUEENS BOULEVARD,11375,qu-06-124204,08/09/2017,11/05/2016,Forest Hills,4075147,4031710028,4071305,67 ROAD,102 STREET,SE,,"(40.72624127, -73.85251864)",1025127.6379500179,203900.24184803665
LINK-021522,Brooklyn,307,38,40.662189,-73.996017,Live,145867,691 4 AVENUE,11232,bk-07-145867,08/22/2017,07/15/2017,Sunset Park West,3000000,3006430001,3014500,22 STREET,21 STREET,NE,81838,"(40.662189, -73.996017)",985355.0359081068,180529.72470962256
LINK-010833,Manhattan,105,3,40.751540,-73.990365,Live,137863,458 7 AVENUE,10001,mn-05-137863,06/05/2017,11/12/2016,Midtown-Midtown South,1014409,1007840047,1010900,WEST 34 STREET,WEST 35 STREET,NW,,"(40.75153962, -73.99036533)",986919.4439653612,213082.96666283906
LINK-000541,Manhattan,105,3,40.762331,-73.985923,Live,122593,830 8 AVENUE,10019,mn-05-122593,04/27/2016,04/16/2016,Midtown-Midtown South,1024808,1010220001,1013100,WEST 50 STREET,WEST 51 STREET,NE,,"(40.762331, -73.985923)",988149.6328071569,217014.78451795876
LINK-020922,Queens,401,26,40.753746,-73.917703,Live,145957,43-60 NORTHERN BOULEVARD,11101,qu-01-145957,11/07/2017,09/30/2017,Hunters Point-Sunnyside-West Maspeth,4441943,4001430500,4017100,45 STREET,44 STREET,NW,81869,"(40.75374563, -73.9177028)",1007051.0359430402,213897.251409024
LINK-000334,Manhattan,106,4,40.754512,-73.971876,Live,121813,770 3 AVENUE,10017,mn-06-121813,02/28/2016,02/08/2016,Turtle Bay-East Midtown,1036217,1013020033,1009200,EAST 48 STREET,EAST 47 STREET,SW,,"(40.75451175, -73.97187609)",992041.8445710872,214166.9138579704
LINK-000315,Manhattan,106,4,40.750378,-73.974888,Live,137977,650 3 AVENUE,10017,mn-06-137977,02/29/2016,02/07/2016,Murray Hill-Kips Bay,1036153,1012967502,1008000,EAST 41 STREET,EAST 42 STREET,NW,,"(40.75037797, -73.97488777)",991207.8780612838,212660.5906202197
LINK-012113,Manhattan,107,7,40.801247,-73.961279,Live,137419,1003 COLUMBUS AVENUE,10025,mn-07-137419,02/28/2018,12/12/2017,Morningside Heights,1055740,1018450002,1019300,WEST 109 STREET,CATHEDRAL PARKWAY,NE,,"(40.80124724, -73.96127853)",994970.4151008135,231195.34762737527
LINK-018172,Queens,402,26,40.744608,-73.933726,Live,145780,45-02 VAN DAM STREET,11101,qu-02-145780,04/14/2017,03/04/2017,Hunters Point-Sunnyside-West Maspeth,4003535,4002790001,4017900,THOMSON AVENUE,47 AVENUE,NW,81581,"(40.744608, -73.933726)",1002614.2119017746,210564.35505412146
LINK-013350,Manhattan,110,9,40.805792,-73.954263,Live,119988,2190 FREDERICK DOUGLASS BOULEVARD,10026,mn-10-119988,08/18/2017,06/17/2017,Central Harlem South,1058408,1019240001,1022000,WEST 118 STREET,WEST 119 STREET,NE,,"(40.80579247, -73.95426274)",996911.93990632,232852.2709492743
LINK-010265,Manhattan,112,10,40.849698,-73.933322,Live,111720,1430 ST. NICHOLAS AVENUE,10033,mn-12-111720,02/16/2018,12/05/2017,Washington Heights North,1063642,1021540007,1026900,WEST 182 STREET,WEST 181 STREET,SE,,"(40.84969774, -73.93332247)",1002696.884069576,248852.2838564813
LINK-000240,Manhattan,106,2,40.739531,-73.982889,Live,121489,172 EAST 24 STREET,10010,mn-06-121489,05/17/2016,04/30/2016,Gramercy,1018053,1008790044,1006800,3 AVENUE,LEXINGTON AVENUE,SW,,"(40.739531, -73.982889)",988991.7388991379,208708.15864094347
LINK-001046,Brooklyn,307,38,40.659745,-73.998986,Live,141113,776 4 AVENUE,11232,bk-07-141113,04/13/2017,03/03/2017,Sunset Park West,3009654,3006570038,3010100,26 STREET,27 STREET,SW,,"(40.65974544, -73.99898564)",984531.4324089696,179639.44389090687
LINK-000825,Manhattan,108,4,40.762896,-73.965443,Live,134750,1031 3 AVENUE,10065,mn-08-134750,03/29/2016,03/05/2016,Lenox Hill-Roosevelt Island,1043779,1014160001,1011000,EAST 61 STREET,EAST 62 STREET,NE,,"(40.762896, -73.965443)",993822.9533887348,217222.20751764998
LINK-002351,Brooklyn,305,37,40.684317,-73.869636,Live,114742,3418 FULTON STREET,11208,bk-05-114742,03/12/2018,09/23/2017,Cypress Hills-City Line,3092916,3041490028,3118400,LINCOLN AVENUE,AUTUMN AVENUE,SE,,"(40.684317, -73.869636)",1020405.9278594765,188618.46532085165
LINK-012369,Manhattan,107,6,40.777241,-73.978629,Installed,144086,58 WEST 72 STREET,10023,mn-07-144086,,05/31/2018,Lincoln Square,1028626,1011240062,1015700,COLUMBUS AVENUE,CENTRAL PARK WEST,SE,,"(40.77724121, -73.9786294)",990168.7920990816,222447.47875631228
LINK-000465,Manhattan,104,3,40.744403,-73.998993,Live,123501,232 8 AVENUE,10011,mn-04-123501,04/07/2016,03/11/2016,Hudson Yards-Chelsea-Flatiron-Union Square,1014099,1007710075,1008700,WEST 22 STREET,WEST 21 STREET,SE,,"(40.744403, -73.998993)",984529.0358217652,210482.72164724022
LINK-021686,Brooklyn,302,35,40.682268,-73.967753,Live,145868,470 VANDERBILT AVENUE,11238,bk-02-145868,06/12/2018,07/15/2017,Clinton Hill,3335094,3020090001,3019900,ATLANTIC AVENUE,FULTON STREET,NW,81856,"(40.68226753, -73.96775318)",993193.8030068189,187846.52623958886
LINK-001290,Queens,402,26,40.743184,-73.951617,Live,141148,10-93 JACKSON AVENUE,11101,qu-02-141148,03/24/2017,03/11/2017,Hunters Point-Sunnyside-West Maspeth,4448532,4000440023,4000700,11 STREET,49 AVENUE,NW,,"(40.74318379, -73.9516172)",997656.9322076143,210042.2254995033
LINK-008295,Manhattan,103,1,40.719215,-73.989850,Live,123367,84 DELANCEY STREET,10002,mn-03-123367,12/28/2016,11/14/2016,Chinatown,1005508,1004150078,1001800,ORCHARD STREET,ALLEN STREET,NW,,"(40.719215, -73.98985)",987063.5892278102,201306.1066466123
LINK-000942,Manhattan,107,6,40.777137,-73.981904,Live,121335,2040 BROADWAY,10023,mn-07-121335,07/19/2016,04/19/2016,Lincoln Square,1029749,1011427502,1015700,WEST 70 STREET,WEST 71 STREET,NE,,"(40.77713717, -73.98190427)",989261.7933699916,222409.36915859953
LINK-000352,Manhattan,106,4,40.758820,-73.968417,Live,121854,909 3 AVENUE,10022,mn-06-121854,03/15/2016,02/28/2016,Turtle Bay-East Midtown,1038570,1013280001,1010800,EAST 55 STREET,EAST 54 STREET,SE,,"(40.75881998, -73.96841698)",992999.6392127338,215736.86885786057
LINK-005582,Bronx,207,14,40.866588,-73.895654,Live,145689,60 EAST KINGSBRIDGE ROAD,10468,bx-07-145689,11/11/2016,08/27/2016,Bedford Park-Fordham North,2094669,2031770031,2040100,CRESTON AVENUE,MORRIS AVENUE,SW,81352,"(40.86658827, -73.89565372)",1013110.9173113828,255016.32341835275
LINK-010990,Manhattan,105,4,40.745756,-73.984529,Live,137138,130 MADISON AVENUE,10016,mn-05-137138,02/23/2018,09/30/2017,Midtown-Midtown South,1016976,1008600065,1007400,EAST 31 STREET,EAST 30 STREET,SW,,"(40.74575598, -73.98452873)",988536.9422495664,210976.03247299418
LINK-001141,Queens,404,25,40.734923,-73.875460,Live,142877,88-02 QUEENS BOULEVARD,11373,qu-04-142877,11/08/2017,10/14/2017,Elmhurst,4064725,4028540009,4047500,55 ROAD,56 AVENUE,SE,,"(40.734923, -73.87546)",1018764.453213277,207053.39090956375
LINK-022686,Queens,403,25,40.749532,-73.885832,Live,146069,80-12 37 AVENUE,11372,qu-03-146069,04/12/2018,03/09/2018,Jackson Heights,4029986,4012910001,4028300,80 STREET,81 STREET,MIDBLOCK,81997,"(40.74953249, -73.8858319)",1015883.0961499633,212372.1718697548
LINK-018206,Queens,402,26,40.743382,-73.950806,Live,145795,48-15 11 STREET,11101,qu-02-145795,05/30/2018,03/11/2017,Hunters Point-Sunnyside-West Maspeth,4536917,4000617501,4000700,11 STREET,48 AVENUE,SW,81606,"(40.74338234, -73.95080577)",997881.7397906253,210114.68881247938
LINK-000990,Manhattan,107,6,40.786519,-73.977765,Live,121235,2300 BROADWAY,10024,mn-07-121235,08/18/2017,06/17/2017,Upper West Side,1076250,1012317501,1017100,WEST 83 STREET,WEST 84 STREET,NE,,"(40.78651948, -73.97776529)",990407.2575841604,225827.92685931548
LINK-001777,Bronx,205,14,40.862313,-73.900314,Live,119573,2454 WALTON AVENUE,10468,bx-05-119573,09/15/2016,08/27/2016,Fordham South,2014027,2031840039,2023900,EAST FORDHAM ROAD,EAST 184 STREET,SE,,"(40.86231329, -73.90031404)",1011823.702297426,253457.2816556804
LINK-018411,Staten Island,502,50,40.589488,-74.101271,Live,146098,1660 RICHMOND ROAD,10304,si-02-146098,07/19/2018,06/29/2018,Old Town-Dongan Hills-South Beach,5050551,5035300001,5011401,BUEL AVENUE,LIBERTY AVENUE,NE,81709,"(40.58948831, -74.10127071)",956123.0327628937,154059.16300415993
LINK-021687,Brooklyn,308,35,40.680888,-73.964668,Live,145935,2 UNDERHILL AVENUE,11238,bk-08-145935,04/10/2018,09/23/2017,Prospect Heights,3027474,3011220032,3020300,PACIFIC STREET,BEND,NE,81855,"(40.68088788, -73.96466835)",994049.5974097529,187344.20994869992
LINK-012298,Manhattan,108,5,40.761977,-73.963213,Live,135943,1164 2 AVENUE,10065,mn-08-135943,02/16/2018,10/28/2017,Lenox Hill-Roosevelt Island,1084255,1014360001,1011000,EAST 61 STREET,EAST 62 STREET,NE,,"(40.7619766, -73.96321301)",994440.8441287344,216887.4914683029
LINK-005215,Manhattan,109,7,40.822212,-73.950118,Live,118226,501 WEST 140 STREET,10031,mn-09-118226,07/20/2017,06/11/2017,Hamilton Heights,1061767,1020727501,1022500,AMSTERDAM AVENUE,HAMILTON PLACE,NW,,"(40.822212, -73.950118)",998055.9663884402,238835.11864389852
LINK-020759,Brooklyn,301,33,40.732735,-73.954581,Live,145863,984 MANHATTAN AVENUE,11222,bk-01-145863,08/02/2017,07/01/2017,Greenpoint,3064316,3025330005,3057500,HURON STREET,INDIA STREET,SE,81734,"(40.732735, -73.954581)",996837.6335618183,206234.96197650954
LINK-012291,Manhattan,104,3,40.766683,-73.990210,Live,137195,455 WEST 53 STREET,10019,mn-04-137195,05/16/2018,11/14/2017,Clinton,1026754,1010630001,1013300,10 AVENUE,9 AVENUE,NE,,"(40.76668319, -73.9902101)",986961.8363773549,218600.26909019426
LINK-000165,Manhattan,105,4,40.760632,-73.984283,Live,133511,208 WEST 49 STREET,10019,mn-05-133511,07/19/2016,04/30/2016,Midtown-Midtown South,1024779,1010200038,1012500,BROADWAY,7 AVENUE,NW,,"(40.76063217, -73.98428289)",988604.0897221421,216395.92226722464
LINK-001357,Queens,401,26,40.753370,-73.912320,Live,140214,50-01 NORTHERN BOULEVARD,11103,qu-01-140214,10/18/2017,09/30/2017,Astoria,4014093,4007480008,4016300,50 STREET,51 STREET,NE,,"(40.75336987, -73.91232033)",1008542.424828929,213761.79677478224
LINK-000909,Manhattan,111,8,40.798139,-73.940036,Live,120240,2126 3 AVENUE,10035,mn-11-120240,07/01/2016,05/20/2016,East Harlem North,1052300,1016440033,1018200,EAST 116 STREET,EAST 117 STREET,NW,,"(40.79813946, -73.94003626)",1000852.3182219857,230066.38780291006
LINK-001539,Manhattan,107,7,40.795774,-73.970752,Live,135865,2596 BROADWAY,10025,mn-07-135865,10/10/2017,07/18/2017,Upper West Side,1056383,1018690044,1018300,WEST 98 STREET,WEST 97 STREET,SE,,"(40.7957738, -73.9707519)",992348.2865451765,229200.16507163644
LINK-012792,Manhattan,106,4,40.746868,-73.974520,Live,137452,685 2 AVENUE,10016,mn-06-137452,03/23/2018,09/24/2017,Murray Hill-Kips Bay,1020339,1009180025,1007800,EAST 37 STREET,EAST 38 STREET,NW,,"(40.74686754, -73.97452006)",991310.1319635495,211381.65761163458
LINK-003918,Manhattan,109,7,40.804835,-73.965995,Live,120396,2858 BROADWAY,10025,mn-09-120396,07/12/2016,06/24/2016,Morningside Heights,1075433,1018837501,1019900,WEST 111 STREET,WEST 112 STREET,NE,,"(40.804835, -73.965995)",993664.1072059467,232501.95252010226
LINK-013353,Manhattan,110,9,40.808733,-73.952093,Live,119996,2288 FREDERICK DOUGLASS BOULEVARD,10027,mn-10-119996,07/20/2017,10/01/2016,Central Harlem South,1058592,1019280061,1022200,WEST 122 STREET,WEST 123 STREET,SE,,"(40.80873329, -73.95209309)",997512.0015288093,233924.0366451107
LINK-011379,Manhattan,111,8,40.801405,-73.934704,Live,120309,2397 2 AVENUE,10035,mn-11-120309,10/18/2018,03/19/2018,East Harlem North,1054629,1017870080,1019400,EAST 123 STREET,EAST 122 STREET,SW,,"(40.80140456, -73.93470439)",1002327.6800847977,231257.03300799057
LINK-021930,Brooklyn,305,37,40.677540,-73.901951,Live,145945,2493 FULTON STREET,11207,bk-05-145945,01/08/2018,09/29/2017,Ocean Hill,3339272,3015470025,3036700,WILLIAMS PLACE,WILLIAMS AVENUE,MIDBLOCK,81906,"(40.67754, -73.90195137)",1011446.1587636948,186137.7250736244
LINK-014238,Manhattan,108,5,40.762921,-73.959715,Live,108268,1187 1 AVENUE,10065,mn-08-108268,06/07/2018,03/23/2018,Lenox Hill-Roosevelt Island,1044695,1014390023,1011800,EAST 64 STREET,EAST 65 STREET,NW,,"(40.76292088, -73.95971503)",995409.7069313806,217231.9499721527
LINK-000350,Manhattan,106,4,40.758993,-73.968727,Live,121842,162 EAST 55 STREET,10022,mn-06-121842,07/01/2016,06/04/2016,Turtle Bay-East Midtown,1036483,1013090039,1010000,3 AVENUE,LEXINGTON AVENUE,SW,,"(40.758993, -73.968727)",992913.7299551687,215799.87488060072
LINK-014236,Manhattan,111,8,40.799528,-73.943527,Live,108257,95 EAST 116 STREET,10035,mn-11-108257,06/21/2017,12/18/2016,East Harlem North,1051672,1016220033,1018400,PARK AVENUE,MADISON AVENUE,NW,,"(40.799528, -73.943527)",999885.5018616725,230571.6389357522
LINK-018157,Queens,402,26,40.742546,-73.915342,Live,145741,49-18 QUEENS BOULEVARD,11377,qu-02-145741,03/20/2017,02/25/2017,Hunters Point-Sunnyside-West Maspeth,4052837,4022820030,4023500,50 STREET,49 STREET,SW,81566,"(40.74254629, -73.91534245)",1007708.9311714695,209817.5972428769
LINK-014184,Manhattan,107,6,40.784096,-73.974049,Live,107832,462 COLUMBUS AVENUE,10024,mn-07-107832,04/20/2018,02/14/2018,Upper West Side,1032070,1012130030,1016900,WEST 82 STREET,WEST 83 STREET,NW,,"(40.78409642, -73.97404944)",991436.5158925046,224945.40645658597
LINK-012647,Manhattan,104,3,40.764624,-73.991967,Live,136045,735 10 AVENUE,10019,mn-04-136045,04/30/2018,09/23/2017,Clinton,1083799,1010780023,1012900,WEST 50 STREET,WEST 49 STREET,SW,,"(40.76462448, -73.99196653)",986475.3679419939,217850.1635094881
LINK-012758,Manhattan,107,6,40.788986,-73.970482,Live,134642,614 COLUMBUS AVENUE,10024,mn-07-134642,05/21/2018,02/26/2018,Upper West Side,1032439,1012200029,1017300,WEST 89 STREET,WEST 90 STREET,SW,,"(40.78898616, -73.97048243)",992423.7313803005,226727.21861211956
LINK-000362,Manhattan,106,4,40.760347,-73.967306,Live,121857,953 3 AVENUE,10022,mn-06-121857,02/24/2018,06/04/2016,Turtle Bay-East Midtown,1089950,1013310001,1010800,EAST 57 STREET,EAST 58 STREET,NE,,"(40.76034713, -73.96730567)",993307.3046115029,216293.3724894561
LINK-005400,Staten Island,502,50,40.572100,-74.112674,Live,145729,291 NEW DORP LANE,10306,si-02-145729,02/28/2017,02/19/2017,New Dorp-Midland Beach,5052754,5036430016,5012200,EDISON STREET,CLAWSON STREET,MIDBLOCK,81414,"(40.57210026, -74.11267359)",952947.8456157139,147728.13525049016
LINK-000805,Queens,412,27,40.704687,-73.796620,Live,138095,163-08 JAMAICA AVENUE,11433,qu-12-138095,03/30/2018,08/27/2016,Jamaica,4216196,4101510001,4044601,163 STREET,164 STREET,SE,,"(40.70468655, -73.79662039)",1040639.2516844034,196078.2501360327
LINK-000502,Manhattan,105,3,40.749880,-73.994993,Live,136910,408 8 AVENUE,10001,mn-05-136910,06/30/2017,05/26/2017,Midtown-Midtown South,1014351,1007807501,1010100,WEST 30 STREET,WEST 31 STREET,SE,,"(40.74988, -73.994993)",985637.3063575173,212478.2064161934
LINK-000225,Manhattan,106,2,40.733470,-73.987384,Live,123261,133 EAST 14 STREET,10003,mn-06-123261,07/19/2016,07/02/2016,Gramercy,1084936,1008700024,1005000,3 AVENUE,IRVING PLACE,NW,,"(40.73347, -73.987384)",987746.4186774389,206499.73396634683
LINK-013089,Brooklyn,307,38,40.663550,-73.991246,Live,125917,620 5 AVENUE,11215,bk-07-125917,01/16/2018,09/23/2017,Park Slope-Gowanus,3009000,3006310046,3014300,17 STREET,18 STREET,NW,,"(40.66355007, -73.99124562)",986678.748896175,181025.69697011635
LINK-012804,Manhattan,108,5,40.764117,-73.958948,Installed,135072,343 EAST 66 STREET,10065,mn-08-135072,,05/01/2018,Lenox Hill-Roosevelt Island,1044741,1014410023,1011800,1 AVENUE,2 AVENUE,NW,,"(40.76411658, -73.95894778)",995622.0456774031,217667.6814872697
LINK-022136,Brooklyn,317,41,40.651230,-73.942062,Live,146003,3723 CHURCH AVENUE,11203,bk-17-146003,07/27/2018,11/10/2017,East Flatbush-Farragut,3108817,3048740032,3081600,EAST 37 STREET,EAST 38 STREET,NW,81920,"(40.65122997, -73.94206208)",1000326.825442129,176542.33678606525
LINK-010792,Manhattan,108,4,40.766736,-73.969308,Live,121988,30 EAST 64 STREET,10065,mn-08-121988,04/21/2017,12/18/2016,Upper East Side-Carnegie Hill,1041045,1013780056,1012200,MADISON AVENUE,5 AVENUE,SW,,"(40.766736, -73.969308)",992751.7839371728,218620.84739559144
LINK-000824,Manhattan,108,4,40.762107,-73.965809,Live,121741,201 EAST 60 STREET,10065,mn-08-121741,03/29/2016,02/27/2016,Lenox Hill-Roosevelt Island,1043547,1014157501,1011000,3 AVENUE,2 AVENUE,NE,,"(40.76210714, -73.96580928)",993721.5989720466,216934.76009007543
LINK-011757,Bronx,206,15,40.846926,-73.898221,Live,118922,1901 WASHINGTON AVENUE,10457,bx-06-118922,01/12/2018,10/20/2017,Claremont-Bathgate,2009536,2029090024,2039500,EAST TREMONT STREET,EAST 176 STREET,SW,,"(40.84692617, -73.89822056)",1012409.2842487822,247851.8343374394
LINK-000929,Manhattan,107,6,40.774759,-73.982512,Live,134275,124 WEST 67 STREET,10023,mn-07-134275,07/19/2016,04/16/2016,Lincoln Square,1028839,1011387502,1015300,BROADWAY,AMSTERDAM AVENUE,SW,,"(40.77475903, -73.98251236)",989093.5497388968,221542.89864182845
LINK-013844,Manhattan,105,3,40.742723,-73.992800,Live,122269,712 6 AVENUE,10010,mn-05-122269,07/09/2018,03/18/2018,Hudson Yards-Chelsea-Flatiron-Union Square,1086050,1008240011,1005800,WEST 23 STREET,WEST 22 STREET,SE,,"(40.74272274, -73.9927995)",986245.2811373012,209870.6297641769
LINK-001500,Manhattan,107,6,40.793426,-73.973043,Live,107919,250 WEST 94 STREET,10025,mn-07-107919,02/06/2018,10/06/2017,Upper West Side,1033653,1012410052,1017900,BROADWAY,POMANDER WALK,SW,,"(40.79342581, -73.97304342)",991714.0680707451,228344.50743263587
LINK-021227,Brooklyn,301,33,40.719067,-73.962765,Live,146016,28 NORTH 5 STREET,11249,bk-01-146016,04/12/2018,12/08/2017,North Side-South Side,3062291,3023410001,3055500,KENT AVENUE,WYTHE AVENUE,SE,81970,"(40.71906736, -73.96276535)",994571.5014081717,201254.347524181
LINK-018397,Bronx,205,15,40.861150,-73.897400,Live,145959,202 EAST 188 STREET,10458,bx-05-145959,01/12/2018,10/06/2017,Bedford Park-Fordham North,2013592,2031520069,2023702,GRAND COUNCORSE,VALENTINE AVENUE,SE,81642,"(40.86115, -73.8974)",1012630.2383576247,253034.38100887462
LINK-011207,Queens,403,21,40.748708,-73.874393,Live,136703,92-03 ROOSEVELT AVENUE,11372,qu-03-136703,10/11/2017,08/31/2017,Jackson Heights,4036462,4014800044,4027500,92 STREET,93 STREET,NE,,"(40.74870842, -73.87439289)",1019052.9852628132,212076.27476560324
LINK-000960,Manhattan,107,6,40.781984,-73.981184,Live,136444,2163 BROADWAY,10024,mn-07-136444,10/16/2017,06/27/2017,Upper West Side,1030859,1011680010,1016300,WEST 76 STREET,WEST 77 STREET,NW,,"(40.781984, -73.981184)",989460.9000358416,224175.27517991513
